split,class,filename,width,height,source_repository,source_path,declared_repository_license
train,bottle,train/bottle/11.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142427_BURST099_jpg.rf.76afdb8be7ba247e057e631a95474ce5.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/12.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142427_BURST099_jpg.rf.f4e1ebfd5ed37ef77bfdf7e0c305159d.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/13.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142427_BURST100_jpg.rf.1fa28d7328ed9f53c2f0504296f2acf5.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/14.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142427_BURST100_jpg.rf.7e710547c980022ef31cda7015f2a873.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,bottle,train/bottle/15.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142427_BURST100_jpg.rf.d92b94c2bea78d5b7a22359354b6a02f.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,bottle,validation/bottle/16.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142453_BURST087_jpg.rf.c41ccd7bc10829827c9299208da6e806.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,bottle,validation/bottle/17.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142453_BURST087_jpg.rf.c983dbbb1fb6ce23550484153ebd67e8.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,bottle,validation/bottle/18.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142453_BURST087_jpg.rf.fedb688065d3adbfe40f569ad1628e6d.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,bottle,validation/bottle/19.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142453_BURST088_jpg.rf.062791764c5ce6a91fa74138a6ed7e88.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,bottle,validation/bottle/20.jpg,512,512,https://github.com/llsrwsaint/bottlecap-train-dataset-Image-Dataset,images/IMG_20230820_142453_BURST088_jpg.rf.ad04622c8bb0c5931f068e15c8650d98.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/01.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_0.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/02.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_1.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/03.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_2.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/04.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_3.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/05.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_4.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/06.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_5.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/07.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_6.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/08.jpg,512,384,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_7.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/09.jpg,512,384,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_8.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/10.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/train/pencil/pencil_9.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/11.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/test/pencil/pencil_0.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/12.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/test/pencil/pencil_1.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/13.jpg,384,512,https://github.com/JSini/pen_pencil_image_dataset,data/test/pencil/pencil_2.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/14.jpg,256,256,https://github.com/yurui777/Data-Pencil,image_1/00001.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,pencil,train/pencil/15.jpg,256,256,https://github.com/yurui777/Data-Pencil,image_1/00002.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,pencil,validation/pencil/16.jpg,256,256,https://github.com/yurui777/Data-Pencil,image_1/00003.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,pencil,validation/pencil/17.jpg,256,256,https://github.com/yurui777/Data-Pencil,image_1/00004.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,pencil,validation/pencil/18.jpg,256,256,https://github.com/yurui777/Data-Pencil,image_1/00005.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,pencil,validation/pencil/19.jpg,256,256,https://github.com/yurui777/Data-Pencil,image_1/00006.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,pencil,validation/pencil/20.jpg,256,256,https://github.com/yurui777/Data-Pencil,image_1/00007.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/01.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-1-23661.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/02.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-10-58000.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/03.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-100-27702.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/04.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-101-27000.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/05.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-102-79999.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/06.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-103-50195.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/07.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-104-26900.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/08.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-105-23500.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/09.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-106-79499.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/10.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-107-16900.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/11.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-108-59900.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/12.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-109-23993.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/13.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-11-24000.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/14.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-110-42440.jpg,UNSPECIFIED_UPSTREAM_LICENSE
train,wristwatch,train/wristwatch/15.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-111-28499.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,wristwatch,validation/wristwatch/16.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-112-39495.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,wristwatch,validation/wristwatch/17.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-113-19990.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,wristwatch,validation/wristwatch/18.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-114-2395.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,wristwatch,validation/wristwatch/19.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-115-68499.jpg,UNSPECIFIED_UPSTREAM_LICENSE
validation,wristwatch,validation/wristwatch/20.jpg,210,210,https://github.com/vedantg10/Chrono_analyzer,code/images/audemarspiguet-116-30000.jpg,UNSPECIFIED_UPSTREAM_LICENSE
